0000000032##34575##Grupa 1#Aydxkflio, Ootoogb#Učinska elektronika#2
0000000032##35228##Grupa 1#Aydxkflio, Ootoogb#Laboratorij Elektrotehnički sustavi i tehnologija 1#2
0000000032##46408##Grupa 1#Aydxkflio, Ootoogb#Diplomski projekt#2
0000000033##34395##Grupa 3#Rwdugj, Zcrmkerxy#Napredni algoritmi i strukture podataka#1
0000000033##34418##Grupa 1#Rwdugj, Zcrmkerxy#Računala i procesi#1
0000000033##34427##Grupa 1#Rwdugj, Zcrmkerxy#Multimedijske arhitekture i sustavi#1
0000000033##34556##Grupa 3#Rwdugj, Zcrmkerxy#Diskretna matematika#1
0000000033##35222##Grupa 1#Rwdugj, Zcrmkerxy#Laboratorij računalnog inženjerstva 1#1
0000000033##46412##Grupa 1#Rwdugj, Zcrmkerxy#Diplomski projekt#1
0000000033##46417##Grupa 1#Rwdugj, Zcrmkerxy#Društveni aspekti računalom posredovane komunikacije#1
0000000034##34397##Grupa 1#Sypjcdcl, Khuouc#Digitalna obradba signala#2
0000000034##34410##Grupa 1#Sypjcdcl, Khuouc#Videokomunikacijske tehnologije#2
0000000034##34468##Grupa 2#Sypjcdcl, Khuouc#Planiranje mobilnih sustava#2
0000000034##34471##Grupa 1#Sypjcdcl, Khuouc#Satelitske komunikacijske tehnologije#2
0000000034##34480##Grupa 1#Sypjcdcl, Khuouc#Optički komunikacijski sustavi#2
0000000034##35242##Grupa 1#Sypjcdcl, Khuouc#Laboratorij radiokomunikacijskih tehnologija 1#2
0000000034##46409##Grupa 1#Sypjcdcl, Khuouc#Diplomski projekt#2
0000000035##34316##Grupa 1#Qezkyhi, Vrjqddt#Elektromehanički sustavi#2
0000000035##34318##Grupa 2#Qezkyhi, Vrjqddt#Elektromehaničke i električne pretvorbe#2
0000000036##34269##Grupa 1#Cpoqgznj, Qgqujbun#Oblikovanje programske potpore#3
0000000036##34272##Grupa 2#Cpoqgznj, Qgqujbun#Komunikacijske mreže#3
0000000036##37547##Grupa 1#Cpoqgznj, Qgqujbun#Projekt iz programske potpore#3
0000000037##31489##Grupa 1#Qcbhpfqoj, Emaxcf#Električni krugovi#2
0000000037##34315##Grupa 2#Qcbhpfqoj, Emaxcf#Teorija informacije#2
0000000037##34318##Grupa 2#Qcbhpfqoj, Emaxcf#Elektromehaničke i električne pretvorbe#2
0000000038##31487##Grupa 3#Tbegydin, Jcrfyrfx#Fizika 2#2
0000000038##31488##Grupa 5#Tbegydin, Jcrfyrfx#Elektronika 1#2
0000000038##31490##Grupa 3#Tbegydin, Jcrfyrfx#Upravljanje kakvoćom#2
0000000038##31491##Grupa 1#Tbegydin, Jcrfyrfx#Laboratorij i vještine - Matlab#2
0000000038##31492##Grupa 1#Tbegydin, Jcrfyrfx#Tjelesna i zdravstvena kultura 3#2
0000000038##31500##Grupa 2#Tbegydin, Jcrfyrfx#Matematika 3R#2
0000000038##31501##Grupa 2#Tbegydin, Jcrfyrfx#Operacijski sustavi#2
0000000039##19672##Grupa 4#Vqijafajx, Utaunx#Osnove elektrotehnike#1
0000000039##19676##Grupa 5#Vqijafajx, Utaunx#Programiranje i programsko inženjerstvo#1
0000000039##31490##Grupa 4#Vqijafajx, Utaunx#Upravljanje kakvoćom#1
0000000039##31491##Grupa 4#Vqijafajx, Utaunx#Laboratorij i vještine - Matlab#1
0000000040##19671##Grupa 1#Lmuml, Mbiqep#Laboratorij i vještine - Mathematica#1
0000000040##19672##Grupa 1#Lmuml, Mbiqep#Osnove elektrotehnike#1
0000000040##19674##Grupa 2#Lmuml, Mbiqep#Digitalna logika#1
0000000040##19676##Grupa 4#Lmuml, Mbiqep#Programiranje i programsko inženjerstvo#1
0000000040##19678##Grupa 2#Lmuml, Mbiqep#Vještine komuniciranja#1
0000000040##31490##Grupa 2#Lmuml, Mbiqep#Upravljanje kakvoćom#1
0000000040##31491##Grupa 2#Lmuml, Mbiqep#Laboratorij i vještine - Matlab#1
