0154753114##31502##2.R2#Umqwfsjt, Mbuyerebq#Uvod u teoriju računarstva#3
0154753114##34283##3.PI1#Umqwfsjt, Mbuyerebq#Razvoj primijenjene programske potpore#3
0154753114##34354##3.PI1#Umqwfsjt, Mbuyerebq#Skriptni jezici#3
2936747473##34308##3.ELE2#Egfiub, Qvdnl#Konstrukcija elektroničkih uređaja#2
2936747473##34352##3.ELE2#Egfiub, Qvdnl#Računalom podržano projektiranje elektroničkih uređaja#2
1836453377##21008###Qhdjpua, Qqowk#Algoritmi i strukture podataka#2
1836453377##21010###Qhdjpua, Qqowk#Arhitektura računala 1#2
1836453377##31493###Qhdjpua, Qqowk#Vjerojatnost i statistika#2
1836453377##34294###Qhdjpua, Qqowk#Trgovačko pravo#2
5278011697##21012##1.03#Flrs, Afewo#Menadžment u inženjerstvu#3
5278011697##31494##2.E2#Flrs, Afewo#Signali i sustavi#3
7024333052##31494##2.R2#Krxct, Tyiysxlc#Signali i sustavi#3
7024333052##31502###Krxct, Tyiysxlc#Uvod u teoriju računarstva#3
7024333052##34286###Krxct, Tyiysxlc#Otvoreno računarstvo#3
7024333052##34319##3.RZ1#Krxct, Tyiysxlc#Ugradbeni računalni sustavi#3
9510786596##21008##1.06#Gikmxrxy, Grorofdmr#Algoritmi i strukture podataka#2
9510786596##34294##3.RI1#Gikmxrxy, Grorofdmr#Trgovačko pravo#2
1302687773##21010##1.01#Etsc, Rslbwhuxuqu#Arhitektura računala 1#2
1302687773##34294##3.ERI2#Etsc, Rslbwhuxuqu#Trgovačko pravo#2
1302687773##34342##3.AUT2#Etsc, Rslbwhuxuqu#Praktikum upravljanja električnim strojevima#2
1302687773##34344##3.AUT2#Etsc, Rslbwhuxuqu#Praktikum automatizacije#2
3959540921##31493##2.E2#Tmpdnkv, Erimwnbuepf#Vjerojatnost i statistika#3
3959540921##31496##2.E5#Tmpdnkv, Erimwnbuepf#Elektromagnetska polja#3
3959540921##34294##3.RK2#Tmpdnkv, Erimwnbuepf#Trgovačko pravo#3
3959540921##41251##2.E2#Tmpdnkv, Erimwnbuepf#Inženjerska ekonomika#3
4436107017##34319##3.RZ1#Mhrd, Uhfcfrjw#Ugradbeni računalni sustavi#3
1686860600##31493##2.VIS1#Hyhjybko, Bdxnciw#Vjerojatnost i statistika#2
1686860600##31502##2.R2#Hyhjybko, Bdxnciw#Uvod u teoriju računarstva#2
1686860600##34294##3.OiMT1#Hyhjybko, Bdxnciw#Trgovačko pravo#2
6153365432##31493##2.E2#Imaxlavh, Eafob#Vjerojatnost i statistika#3
6153365432##34294##3.ERI2#Imaxlavh, Eafob#Trgovačko pravo#3
3364841396##21012##1.01#Lekl, Gabua#Menadžment u inženjerstvu#3
3364841396##31496##2.E5#Lekl, Gabua#Elektromagnetska polja#3
4672006016##34282##3.PI1#Emimw, Hqsgrdmmbxu#Programske paradigme i jezici#2
4672006016##34283##3.PI1#Emimw, Hqsgrdmmbxu#Razvoj primijenjene programske potpore#2
4672006016##34294##3.OiMT1#Emimw, Hqsgrdmmbxu#Trgovačko pravo#2
4672006016##34354##3.TI1#Emimw, Hqsgrdmmbxu#Skriptni jezici#2
8853540832##21004##1.09#Cyvolem, Wpdmf#Matematika 2#2
8853540832##34332##3.TI1#Cyvolem, Wpdmf#Lokalne mreže#2
8853540832##34335##3.RI1#Cyvolem, Wpdmf#Mrežno programiranje#2
1759230305##21010##1.06#Tlpwd, Khjpyeqhh#Arhitektura računala 1#2
1759230305##31496##2.E3#Tlpwd, Khjpyeqhh#Elektromagnetska polja#2
3538311561##31493##2.E3#Blisni, Bglrkbhjd#Vjerojatnost i statistika#2
6412985794##21004##1.01#Tufrys, Nixtd#Matematika 2#2
6412985794##21010##1.01#Tufrys, Nixtd#Arhitektura računala 1#2
6412985794##34294##3.OiMT1#Tufrys, Nixtd#Trgovačko pravo#2
1414636230##21004##1.01#Wmrbgu, Ujjdmmcy#Matematika 2#2
1414636230##21010##1.01#Wmrbgu, Ujjdmmcy#Arhitektura računala 1#2
1414636230##34294##3.OiMT1#Wmrbgu, Ujjdmmcy#Trgovačko pravo#2
1655232555##31493##2.VIS1#Kmdubub, Xwgqbvarm#Vjerojatnost i statistika#2
4835664590##34278##3.OiMT1#Vigdvlnp, Sxadmhc#Obradba informacija#2
4835664590##34294##3.OiMT1#Vigdvlnp, Sxadmhc#Trgovačko pravo#2
4872952169##31494###Aotwrks, Gsorlseljju#Signali i sustavi#3
